,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1388584149997457410,1387119205154238464,1619899234000.0,2021-05-02 04:00:34,+0800,,"@JuanRonin @eldipypapaok De 2 millones llegan en un solo vuelo a Chile. @ML_Argentina se ofreció a traerlas de gratis, #Dhl traía los 12millones de #Pfizer que no quisieron comprar en 1 semana. Forrate la cabeza con periódico y carburo a ver si te madura",es,"['dhl', 'pfizer']",[],67598963,67598963,JAMESBORN30,JAIME CONCEPCION,7,04,https://twitter.com/JAMESBORN30/status/1388584149997457410,[],[],0,,False,9,0,4,,#dhl,,,,,,,"[{'screen_name': 'JuanRonin', 'name': 'Juan Ronin', 'id': '72473749'}, {'screen_name': 'eldipypapaok', 'name': 'Eldipypapaok', 'id': '1299789445277851648'}]",,,,
1,1388583227108036610,1388583227108036610,1619899014000.0,2021-05-02 03:56:54,+0800,,Truly a team sport. @RyanHunterReay #genesys300 #txmotorspeedway #nltx #DHL  https://t.co/isLjVOhvdt,en,"['genesys300', 'txmotorspeedway', 'nltx', 'dhl']",[],1385782322,1385782322,TexasIndyCarFan,Texas IndyCar Fan,7,03,https://twitter.com/TexasIndyCarFan/status/1388583227108036610,[],['https://pbs.twimg.com/media/E0U9FWCWQAwD76u.jpg'],1,https://pbs.twimg.com/media/E0U9FWCWQAwD76u.jpg,False,0,0,0,,#dhl,,,,,,,[],,,,
2,1388579775460122624,1388579775460122624,1619898191000.0,2021-05-02 03:43:11,+0800,,Pakketje dus nog steeds niet bezorgd en ook geen briefje in mijn brievenbus terwijl de track en trace aangeeft dat hij bezorgd is.... 🤔🤨 #DHL,nl,['dhl'],[],808604844,808604844,Houtsmaanne,HoutsmaAnne,7,03,https://twitter.com/Houtsmaanne/status/1388579775460122624,[],[],0,,False,0,0,0,https://twitter.com/Houtsmaanne/status/1388556954960809987,#dhl,,,,,,,[],,,,
3,1388578269952360452,1388578269952360452,1619897832000.0,2021-05-02 03:37:12,+0800,,"Eine richtig tolles Update ab sofort an allen #DHL #Packstationen: Über die App wird dir via Ampelsystem angezeigt, wie ausgelastet die Station ist und ob noch ein Fach frei ist 👍  https://t.co/ttvDwbS08E",de,"['dhl', 'packstationen']",[],1436159418,1436159418,oliver_wefers,Oliver Wefers,7,03,https://twitter.com/oliver_wefers/status/1388578269952360452,['https://www.derwesten.de/panorama/vermischtes/dhl-packstation-corona-onlineshopping-pakete-deutsche-post-aenderung-kunden-lieferung-id232175353.html'],[],0,,False,0,0,0,,#dhl,,,,,,,[],,,,
4,1388565598909739013,1388565598909739013,1619894811000.0,2021-05-02 02:46:51,+0800,,🇩🇪 DHL /  Boeing  777-F  / D-AALL as flight #BOX422 Frankfurt (FRA) --&gt; Atlanta (ATL)  FL280 @ EHEH  #NLspot #sunset #avgeek #DHL  https://t.co/hAl699yngI,de,"['box422', 'nlspot', 'sunset', 'avgeek', 'dhl']",[],283706227,283706227,EHEH_Spotter,''The Lazy 🌴 Garden 🌴'' Eindhoven Spotter 🇳🇱,7,02,https://twitter.com/EHEH_Spotter/status/1388565598909739013,[],"['https://pbs.twimg.com/media/E0UsnV0XsAM-cI6.jpg', 'https://pbs.twimg.com/media/E0UsoeKWYAAeUEd.jpg', 'https://pbs.twimg.com/media/E0UspsIXoAYqukb.jpg', 'https://pbs.twimg.com/media/E0UsrRPXMAAbrrT.jpg']",1,https://pbs.twimg.com/media/E0UsnV0XsAM-cI6.jpg,False,18,1,1,,#dhl,,,,,,,[],,,,
5,1388556954960809987,1388556954960809987,1619892750000.0,2021-05-02 02:12:30,+0800,,"OHja lekker weer, ik wachtte op pakket van bol ik heb nog niks binnen maar de track en trace geeft aan dat hij 'bezorgd' is. 🥴🤨🤔 Hoe dan. 🥴#DHL",nl,['dhl'],[],808604844,808604844,Houtsmaanne,HoutsmaAnne,7,02,https://twitter.com/Houtsmaanne/status/1388556954960809987,[],[],0,,False,0,2,0,,#dhl,,,,,,,[],,,,
6,1388556513279713280,1388556513279713280,1619892645000.0,2021-05-02 02:10:45,+0800,,#Dhl  was ist los  in Bruchsal ??? Da bewegt sich nix😰,de,['dhl'],[],956243594381324290,956243594381324290,stefan88682040,stefan,7,02,https://twitter.com/stefan88682040/status/1388556513279713280,[],[],0,,False,0,0,0,,#dhl,,,,,,,[],,,,
7,1388555058594254849,1388495182471991297,1619892298000.0,2021-05-02 02:04:58,+0800,,@DHLExpressIndia Here I Spotted #DHL   #TheTeamBehindTheTeam #DHLSpotAndWin #MIvCSK #IPL2021  @DHLExpressIndia   @Im_ArupDas  @MunmunD77420711  @toposant55  @DipakKu84762434  @dadofbonhisha  https://t.co/jlW6Jdst1C,en,"['dhl', 'theteambehindtheteam', 'dhlspotandwin', 'mivcsk', 'ipl2021']",[],1205544358050590721,1205544358050590721,DeyDebsena,Debsena Dey,7,02,https://twitter.com/DeyDebsena/status/1388555058594254849,[],['https://pbs.twimg.com/media/E0Ujd0BVIAEogtr.jpg'],1,https://pbs.twimg.com/media/E0Ujd0BVIAEogtr.jpg,False,2,0,0,,#dhl,,,,,,,"[{'screen_name': 'DHLExpressIndia', 'name': 'DHL Express India', 'id': '381909397'}]",,,,
8,1388552649721581570,1388495182471991297,1619891724000.0,2021-05-02 01:55:24,+0800,,@DHLExpressIndia Here I Spotted #DHL   #TheTeamBehindTheTeam #DHLSpotAndWin #MIvCSK #IPL2021  @DHLExpressIndia  @Im_ArupDas  @toposant55  @MunmunD77420711  @DeyDebsena  @MoshatNomita  https://t.co/D6dZV1bJXa,en,"['dhl', 'theteambehindtheteam', 'dhlspotandwin', 'mivcsk', 'ipl2021']",[],1252675396681601024,1252675396681601024,nandinidey20gm1,Nandini Dey,7,01,https://twitter.com/nandinidey20gm1/status/1388552649721581570,[],['https://pbs.twimg.com/media/E0UhRj7VEAUhl1f.jpg'],1,https://pbs.twimg.com/media/E0UhRj7VEAUhl1f.jpg,False,0,0,0,,#dhl,,,,,,,"[{'screen_name': 'DHLExpressIndia', 'name': 'DHL Express India', 'id': '381909397'}]",,,,
9,1388552634282377219,1388495182471991297,1619891720000.0,2021-05-02 01:55:20,+0800,,@DHLExpressIndia #DHL got it  #DHLSpotAndWin  #TheTeamBehindTheTeam @DHLExpressIndia @blessedkamal  https://t.co/5aAhaEnM0b,en,"['dhl', 'dhlspotandwin', 'theteambehindtheteam']",[],1284373001123663878,1284373001123663878,GODBLES321,pritee,7,01,https://twitter.com/GODBLES321/status/1388552634282377219,[],['https://pbs.twimg.com/media/E0UhP_VVgAQgbWj.jpg'],1,https://pbs.twimg.com/media/E0UhP_VVgAQgbWj.jpg,False,1,0,0,,#dhl,,,,,,,"[{'screen_name': 'DHLExpressIndia', 'name': 'DHL Express India', 'id': '381909397'}]",,,,
