id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1424506948309770242,1424506948309770242,1628463897000.0,2021-08-09 07:04:57,+0800,,#AGoodRead #DHL Express Adds Electric Planes to Its Fleet for #Sustainable #Aviation Future  https://t.co/RbruXd3Gxk  https://t.co/vf4KMmX4Eh,en,"['agoodread', 'dhl', 'sustainable', 'aviation']",[],726445923270692866,726445923270692866,shashinetwork,Shashi Kumar,1,07,https://twitter.com/shashinetwork/status/1424506948309770242,['https://www.dhl.com/global-en/home/press/press-archive/2021/dhl-express-shapes-future-for-sustainable-aviation-with-the-order-of-first-ever-all-electric-cargo-planes-from-eviation.html'],['https://pbs.twimg.com/media/E8TdVWCUcAA6MY0.jpg'],1,https://pbs.twimg.com/media/E8TdVWCUcAA6MY0.jpg,False,0,0,0,,#dhl,,,,,,,[],,,,
1424481088458612743,1424274189578612738,1628457731000.0,2021-08-09 05:22:11,+0800,,"@welt Ich habe das Gefühl, die #DHL ist auf dem direkten Weg in die Steinzeit. #Elektromobile weg, #Drohnen weg, usw. Was für rückständige Opas führen eigentlich diesen Konzern??? 😞🤢",de,"['dhl', 'elektromobile', 'drohnen']",[],1380612891515236352,1380612891515236352,UdoMartin5,Martin,1,05,https://twitter.com/UdoMartin5/status/1424481088458612743,[],[],0,,False,0,0,0,,#dhl,,,,,,,"[{'screen_name': 'welt', 'name': 'WELT', 'id': '8720562'}]",,,,
1424474020867629058,1424474020867629058,1628456046000.0,2021-08-09 04:54:06,+0800,,#DHL glaubt nicht an die Zukunft der #Drohne als Zustellhelfer. #Paketkopter steht schon seit Längerem am Boden.  https://t.co/TgA7wX4vlM,de,"['dhl', 'drohne', 'paketkopter']",[],11060982,11060982,t3n,t3n Magazin,1,04,https://twitter.com/t3n/status/1424474020867629058,['https://t3n.de/news/paketkopter-ende-dhl-hat-leise-1396601/'],[],0,,False,6,1,2,,#dhl,,,,,,,[],,,,
1424464650498985991,1424464650498985991,1628453812000.0,2021-08-09 04:16:52,+0800,,Ethiopian airlines accused of transporting weapones and soldiers in tigray crisis! #TigrayGenocide  #UNICEF #Liege #Taiwan  #DHL #Alibaba #Aliexpress #RwandaAirExpress #LamLinhasAereas #ASKYAir #AirNamibia #AirCoteDIvoire  #AirNamibia #AsianaAirlines  https://t.co/HSbuuEhwEQ,en,"['tigraygenocide', 'unicef', 'liege', 'taiwan', 'dhl', 'alibaba', 'aliexpress', 'rwandaairexpress', 'lamlinhasaereas', 'askyair', 'airnamibia', 'aircotedivoire', 'airnamibia', 'asianaairlines']",[],924619553971113984,924619553971113984,ElsaHagos3,Elsa Hagos,1,04,https://twitter.com/ElsaHagos3/status/1424464650498985991,[],['https://pbs.twimg.com/media/E8S3DLmWUAA1V97.jpg'],1,https://pbs.twimg.com/media/E8S3DLmWUAA1V97.jpg,False,0,0,0,,#dhl,,,,,,,[],,,,
1424445435813548042,1424445435813548042,1628449231000.0,2021-08-09 03:00:31,+0800,, https://t.co/GKawEpkiHA   #dhl #kargo #uçak,und,"['dhl', 'kargo', 'uçak']",[],1407271543722369024,1407271543722369024,IstanbulGalact1,Istanbul Galactic,1,03,https://twitter.com/IstanbulGalact1/status/1424445435813548042,['https://www.istanbulgalactic.com/blog/2021/08/08/dhl-artik-elektrikli-ucak-kullanacak/'],[],0,,False,0,0,0,,#dhl,,,,,,,[],,,,
1424420902238924805,1424420902238924805,1628443382000.0,2021-08-09 01:23:02,+0800,," https://t.co/LVjUHqAQsh Nachdem #DHL erst mit den Elektrotransportern und jetzt mit den Elekrodrohnen (md4-1000) auf die Nase gefallen ist, startet ein neues Projekt mit Elektroflugzeugen. Ich empfehle ein paar Nachhilfestunden in Physik.",de,['dhl'],[],926929973302235137,926929973302235137,inselpastor,Dornbusch,1,01,https://twitter.com/inselpastor/status/1424420902238924805,['https://www.n-tv.de/22730342'],[],0,,False,0,0,0,,#dhl,,,,,,,[],,,,
1424418922711994372,1424418922711994372,1628442910000.0,2021-08-09 01:15:10,+0800,,"#PorSiNoLoViste La compañía de servicios de mensajería internacional, entrega de paquetes y correo expreso, #DHL Express, dio a conocer la orden de 12 aviones de carga totalmente eléctricos al fabricante Eviation, con sede en Seattle.  https://t.co/747TNXNoOD",es,"['porsinoloviste', 'dhl']",[],125911691,125911691,Enel_Aire,EnElAire,1,01,https://twitter.com/Enel_Aire/status/1424418922711994372,['https://enelaire.mx/dhl-ordena-12-aviones-electricos-de-carga-alice-ecargo/?fbclid=IwAR2RI0Sqz-ptWJw3ppdbuP1z7zLnHzWCAGkflvRhR4VzfkjRoHrVQYJP5jw'],[],0,,False,5,0,2,,#dhl,,,,,,,[],,,,
1424415225638498311,1424415225638498311,1628442028000.0,2021-08-09 01:00:28,+0800,,#DHL orders 12 electric cargo planes ”Alice” for delivery from 2024  #InAviation #AVGEEK @EviationAero @DHLexpress @DHLGlobal  https://t.co/zmjYS5gjND,en,"['dhl', 'inaviation', 'avgeek']",[],158648476,158648476,AlMehairiAUH,Mohamed Al Mehairi,1,01,https://twitter.com/AlMehairiAUH/status/1424415225638498311,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1424415120109748231/pu/img/rAIlBp6hpGywhj8U.jpg,False,1,0,0,,#dhl,,,,,,,[],,,,
1424405114991828995,1424405114991828995,1628439618000.0,2021-08-09 00:20:18,+0800,,عادي انا اسال #dhl و #ارميكس ليش ما يداومون بالعطلهة تاخر طلبي🥲😂😂 ؟,ar,"['dhl', 'ارميكس']",[],234662145,234662145,themahakw,maha,1,00,https://twitter.com/themahakw/status/1424405114991828995,[],[],0,,False,0,0,0,,#dhl,,,,,,,[],,,,
1424404520147247104,1424404520147247104,1628439476000.0,2021-08-09 00:17:56,+0800,,Deutsche Post stoppt Projekt: DHL stellt Entwicklung der Zustelldrohne „Paketkopter“ ein | #DHL #Post #Drohne  https://t.co/wMpiKWkv9O,de,"['dhl', 'post', 'drohne']",[],15454873,15454873,mzwebde,mz-web.de,1,00,https://twitter.com/mzwebde/status/1424404520147247104,['https://www.mz.de/deutschland-und-welt/wirtschaft/dhl-stellt-entwicklung-der-zustelldrohne-paketkopter-ein-3218027'],[],0,,False,2,0,0,,#dhl,,,,,,,[],,,,
